priority,brand,manufacturer,currentCards,canonicalProductName,category,productType,officialProductUrl,kzPartnerCandidates,evidenceStatus,contentStatus,imageStatus,offerStatus,notes
1,NSK,Nakanishi Inc.,0,NSK Surgic Pro2,Хирургические моторы,equipment,https://www.japan.nsk-dental.com/products/surgical/surgical-surgicpro2/?simply_static_page=1041550,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Packages and handpieces belong in offers or variants
1,NSK,Nakanishi Inc.,0,NSK VarioSurg 4,Пьезохирургические аппараты,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Confirm Kazakhstan availability before publication
1,NSK,Nakanishi Inc.,0,NSK ENDO-MATE TC2,Эндодонтические моторы,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Official current catalog model
1,NSK,Nakanishi Inc.,0,NSK iPex II,Апекслокаторы,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Official current catalog model
1,NSK,Nakanishi Inc.,0,NSK iCare,Уход за наконечниками,equipment,https://www.japan.nsk-dental.com/products/,LUCH LLP|Stomed|Astra-dent,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Automatic handpiece maintenance system
2,Solventum,Solventum Corporation,0,3M Filtek Universal Restorative,Композитные материалы,consumable,https://www.solventum.com/en-us/home/f/b5005092007/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Resolve pack size and shade as variants
2,Solventum,Solventum Corporation,0,3M Filtek One Bulk Fill Restorative,Композитные материалы,consumable,https://www.solventum.com/en-us/home/f/b00008028/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Resolve syringe and capsule packages as variants
2,Solventum,Solventum Corporation,0,3M Scotchbond Universal Plus Adhesive,Адгезивные системы,consumable,https://www.solventum.com/en-us/home/f/B5005223013/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Use current Solventum manufacturer while retaining searchable 3M alias
2,Solventum,Solventum Corporation,0,3M RelyX Universal Resin Cement,Стоматологические цементы,consumable,https://www.solventum.com/en-us/home/f/b5005223005/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shade and refill format are variants
2,Solventum,Solventum Corporation,0,3M Clinpro White Varnish,Профилактические материалы,consumable,https://www.solventum.com/en-il/home/f/b00005791/,HELIY LLP|LUCH LLP|VITIME LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Flavor and dose count are variants
1,Solventum,Solventum Corporation,0,3M Filtek Supreme XTE Universal Restorative,Композитные материалы,consumable,https://www.3mkazakhstan.com/3M/ru_KZ/p/d/b00007950/,HELIY LLP|LUCH LLP|VITIME LLP,KZ_OFFICIAL_REGIONAL_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,Official Kazakhstan page confirms 36 shades and four opacities; syringe and capsule refills are variants
1,VDW,VDW GmbH,1,VDW C-Pilot Files,Ручные эндодонтические инструменты,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,All Kazakhstan-listed lengths and ISO sizes are variants
1,VDW,VDW GmbH,1,VDW Finger Pluggers,Инструменты для пломбирования каналов,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,All Kazakhstan-listed ISO sizes are variants
1,VDW,VDW GmbH,1,VDW Finger Spreaders,Инструменты для пломбирования каналов,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,All Kazakhstan-listed ISO sizes are variants
1,VDW,VDW GmbH,1,VDW Hedstroem Files,Ручные эндодонтические инструменты,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,All Kazakhstan-listed lengths and ISO sizes are variants
1,VDW,VDW GmbH,1,VDW K-Files,Ручные эндодонтические инструменты,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,Separate official references are retained for 25 mm and 31 mm variants
1,VDW,VDW GmbH,1,VDW K-Reamers,Ручные эндодонтические инструменты,consumable,https://nordstom.kz/brand?id=48,Nord Stom,KZ_DISTRIBUTOR_CATALOG,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMED_KZ_CATALOG,All Kazakhstan-listed lengths and ISO sizes are variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Tetric Prime,Композитные материалы,consumable,https://www.ivoclar.com/en_us/products/composites/tetric-prime,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Shade and syringe pack belong in variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Variolink Esthetic,Стоматологические цементы,consumable,https://www.ivoclar.com/fr_fr/products/cementation/variolink-esthetic,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,DC and LC forms need separate variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Adhese Universal,Адгезивные системы,consumable,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Confirm current packaging
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar IPS e.max ZirCAD Prime,Материалы CAD/CAM,consumable,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,Dimensions and shades are variants
2,Ivoclar,Ivoclar Vivadent AG,2,Ivoclar Bluephase PowerCure,Полимеризационные лампы,equipment,https://www.ivoclar.com/,Ident LLC|IVO-HANDELS KZ|KazDent Service|Luch LTD,OFFICIAL_FAMILY_SOURCE,EXACT_MODEL_SOURCE_REQUIRED,OFFICIAL_IMAGE_REQUIRED,PARTNER_CONFIRMATION_REQUIRED,One model card per device generation
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Palfique Omnichroma,Композитные материалы,consumable,https://tokuyama-dental.com/products/composites/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Check whether local packaging uses Omnichroma or Palfique Omnichroma name
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Estelite Posterior,Композитные материалы,consumable,https://tokuyama-dental.com/products/composites/universal/estelite-posterior/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Shades PA1 PA2 PA3 and PCE are variants
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Palfique Universal Bond,Адгезивные системы,consumable,https://tokuyama-dental.com/products/bonding-agents/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Confirm regional product naming
2,Tokuyama Dental,Tokuyama Dental Corporation,6,Tokuyama Shield Force Plus,Десенситайзеры,consumable,https://tokuyama-dental.com/products/,Proteco Asia,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_REQUIRED,MANUFACTURER_CONFIRMATION_REQUIRED,Confirm Kazakhstan availability
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Sigma Quick,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/estelite-sigma-quick/,Nord Stom,OFFICIAL_MODEL_AND_REF_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,All official syringe shades and kits retained as variants; exact KZ refs tracked separately
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Asteria,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/estelite-asteria/,Nord Stom,OFFICIAL_MODEL_AND_REF_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Syringe shades and kit forms are variants of one card
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Bulk Fill Flow,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/estelite-bulk-fill-flow/,Nord Stom,OFFICIAL_MODEL_AND_REF_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Local listing explicitly confirms syringe A2; other official refs remain pending exact KZ confirmation
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Color,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/estelite-color/,Nord Stom,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Colors must be loaded as selectable variants after exact refs are verified
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Universal Flow High,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/universal-flow-high/,Nord Stom,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Local line lists A2 and OPA2; exact manufacturer refs still require primary confirmation
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Universal Flow Medium,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/universal-flow-medium/,Nord Stom,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Do not infer exact refs from third-party regional codes
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Estelite Universal Flow Super Low,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/universal-flow-super-low/,Nord Stom,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Do not infer exact refs from third-party regional codes
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Omnichroma Blocker,Композитные материалы,consumable,https://www.tokuyama-dental.it/en/products/omnichroma-blocker/,Nord Stom,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Syringe format confirmed locally; exact ref requires primary confirmation
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Palfique Estelite Paste,Композитные материалы,consumable,https://tokuyama-dental.com/products/composites/,Nord Stom,KZ_DISTRIBUTOR_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Local individual syringes and intro kit belong to one canonical card
2,Tokuyama Dental,Tokuyama Dental Corporation,10,Tokuyama Bond Force II,Адгезивные системы,consumable,https://www.tokuyama-dental.it/en/products/tokuyama-bond-force-ii/,Nord Stom,OFFICIAL_MODEL_AND_REF_SOURCE,READY_FOR_CONTENT,EXACT_KZ_IMAGE_READY,KZ_DISTRIBUTOR_CONFIRMED,Bottle kit and refill are variants of one card
2,Kerr,Kerr Corporation,0,Kerr Harmonize,Композитные материалы,consumable,https://www.kerrdental.com/en-uk/harmonize,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shade syringe and unidose belong in variants
2,Kerr,Kerr Corporation,0,Kerr OptiBond Universal,Адгезивные системы,consumable,https://www.kerrdental.com/en-ae/optibond-universal,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Bottle kit refill and unidose belong in variants
2,Kerr,Kerr Corporation,0,Kerr SimpliShade Universal Composite,Композитные материалы,consumable,https://www.kerrdental.com/en-ca/simplishade,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Light medium and dark shades belong in variants
2,Kerr,Kerr Corporation,0,Kerr Maxcem Elite Chroma,Стоматологические цементы,consumable,https://www.kerrdental.com/en-fi/dental-restoration-products/maxcem-elite-chroma-permanent-dental-cements-and-liners,LUCH LLP,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Standard kit refills shades and tips belong in variants
2,GC,GC Corporation,3,GC G-ænial A'CHORD,Композитные материалы,consumable,https://www.gc.dental/europe/en-GP/products/gaenialachord,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades syringes and unitips belong in variants
2,GC,GC Corporation,3,GC G-Premio BOND,Адгезивные системы,consumable,https://www.gc.dental/europe/en-GB/products/gpremiobond,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Bottle unit dose and activator belong in variants
2,GC,GC Corporation,3,GC G-CEM ONE,Стоматологические цементы,consumable,https://www.gc.dental/europe/en-GB/products/gcemone,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades kits refills and tips belong in variants
2,GC,GC Corporation,3,GC FujiCEM Evolve,Стоматологические цементы,consumable,https://www.gc.dental/europe/en-GB/products/fujicemevolve,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Single and triple packs belong in variants
2,GC,GC Corporation,3,GC EQUIA Forte HT,Стеклоиономерные материалы,consumable,https://www.gc.dental/europe/en-GB/products/equiaforteht,KASSIS Ltd,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shades capsule counts coat and conditioner belong in variants
2,GC,GC Corporation,5,GC Aadva Lab Scanner 3,Лабораторные сканеры,equipment,https://www.gc.dental/europe/en-KZ/products/aadvalabscanner3,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Configuration and service options belong in variants and offers
2,GC,GC Corporation,5,GC everX Flow,Композитные материалы,consumable,https://www.gc.dental/europe/en-KZ/products/everxflow,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Shade and syringe or unitip form belong in variants
2,GC,GC Corporation,5,GC G2-BOND Universal,Адгезивные системы,consumable,https://www.gc.dental/europe/en-KZ/products/g2bonduniversal,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Kits and separate components belong in variants
2,GC,GC Corporation,5,GC G-ænial Universal Injectable,Композитные материалы,consumable,https://www.gc.dental/europe/en-KZ/products/gaenialuniversalinjectable,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Shade and syringe or unitip form belong in variants
2,GC,GC Corporation,5,GC GRADIA PLUS,Лабораторные композиты,consumable,https://www.gc.dental/europe/en-KZ/products/gradiaplus,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Modules sets materials and shades belong in variants
2,GC,GC Corporation,5,GC Initial IQ ONE SQIN,Керамические материалы,consumable,https://www.gc.dental/europe/en-KZ/products/initialiqonesqin,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,System sets ceramic masses and shades belong in variants
2,GC,GC Corporation,5,GC Initial LiSi Block,Материалы CAD/CAM,consumable,https://www.gc.dental/europe/en-KZ/products/initiallisiblock,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Size translucency and shade belong in variants
2,GC,GC Corporation,5,GC Initial LiSi Press,Пресс-керамика,consumable,https://www.gc.dental/europe/en-KZ/products/initiallisipress,Luch Ltd,KZ_OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,EXACT_PRODUCT_IMAGE_READY,KZ_OFFICIAL_CATALOG_CONFIRMED,Ingot size translucency and shade belong in variants
2,VOCO,VOCO GmbH,3,VOCO GrandioSO,Композитные материалы,consumable,https://www.voco.dental/in/products/direct-restoration/composite/grandioso.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades syringes and caps belong in variants
2,VOCO,VOCO GmbH,3,VOCO Admira Fusion,Композитные материалы,consumable,https://www.voco.dental/in/products/direct-restoration/composites/admira-fusion.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades syringes caps and kits belong in variants
2,VOCO,VOCO GmbH,3,VOCO Futurabond U,Адгезивные системы,consumable,https://www.voco.dental/in/products/direct-restoration/bonding/futurabond-u.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Bottle SingleDose counts and kit belong in variants
2,VOCO,VOCO GmbH,3,VOCO Bifix QM,Стоматологические цементы,consumable,https://www.voco.dental/en/products/indirect-restoration/luting/bifix-qm.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Shades set and syringe refills belong in variants
2,VOCO,VOCO GmbH,3,VOCO Profluorid Varnish,Профилактические материалы,consumable,https://www.voco.dental/en/products/oral-care/desensitizer/voco-profluorid-varnish.aspx,KZ representative research pending,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_RESEARCH_REQUIRED,Flavours tubes cartridges SingleDose counts and mixed packs belong in variants
1,Ultradent,"Ultradent Products, Inc.",0,Opalescence PF,Отбеливание,consumable,https://www.ultradent.com/products/categories/whitening/take-home/opalescence-pf-ad,U-Dent Kazakhstan,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Concentration flavour and syringe count belong in variants
1,Ultradent,"Ultradent Products, Inc.",0,Ultra-Etch,Протравочные материалы,consumable,https://www.ultradent.com/products/categories/bond-etch/etchants/ultra-etch-ad,U-Dent Kazakhstan,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Syringe volume and pack quantity belong in variants
1,Ultradent,"Ultradent Products, Inc.",0,Peak Universal Bond,Адгезивные системы,consumable,https://www.ultradent.com/products/categories/bond-etch/adhesives/peak-universal-bond?group=1621,U-Dent Kazakhstan,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Bottle syringe unit dose and kits belong in variants
1,Ultradent,"Ultradent Products, Inc.",0,Transcend Universal Composite,Композитные материалы,consumable,https://www.ultradent.com/products/categories/composites/paste-type-composite/transcend-ad,U-Dent Kazakhstan,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Shade syringe capsule and kit belong in variants
1,Ultradent,"Ultradent Products, Inc.",0,VALO X,Полимеризационные лампы,equipment,https://www.ultradent.com/products/categories/equipment/curing-lights/valo-x?sku=5973-,U-Dent Kazakhstan,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Colour and kit composition belong in variants
1,W&H,W&H Dentalwerk Bürmoos GmbH,0,W&H Assistina One,Уход за наконечниками,equipment,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/reprocessing-devices/assistina-one,AMD Group,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Quick ISO and Quick RM configurations belong in variants
1,W&H,W&H Dentalwerk Bürmoos GmbH,0,W&H Lara XL,Автоклавы,equipment,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lara-xl,AMD Group,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,The 28 litre RIS-311 configuration is confirmed by the manufacturer
1,W&H,W&H Dentalwerk Bürmoos GmbH,0,W&H Lisa Mini,Автоклавы,equipment,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lisa-mini,AMD Group,OFFICIAL_MODEL_SOURCE,READY_FOR_CONTENT,OFFICIAL_IMAGE_READY,PARTNER_CONFIRMATION_REQUIRED,Chamber size and voltage belong in variants
